날짜,키워드,노출수,클릭수,클릭률,클릭비용,총비용,전환수,전화율
2023-01-16,재활용 센터,2129,124,17.169354838709676,159,19716,1404,0.08831908831908832
2023-01-16,재활용 아이디어,5113,546,9.364468864468865,119,64974,100,5.46
2023-01-16,재활용의 중요성,1214,1111,1.0927092709270927,8,8888,1909,0.5819800942902043
2023-01-17,재활용의 중요성,9913,5820,1.7032646048109965,49,285180,2804,2.0756062767475036
2023-01-17,재활용 아이디어,4696,4175,1.1247904191616767,52,217100,1520,2.7467105263157894
2023-01-17,재활용 센터,7804,7594,1.0276534105873059,199,1511206,2312,3.2846020761245676
2023-01-18,재활용 법률,7547,4326,1.7445677300046232,137,592662,2583,1.6747967479674797
2023-01-18,재활용 방법,7879,5728,1.3755237430167597,68,389504,2874,1.9930410577592206
2023-01-18,재활용 통계,7800,3007,2.593947455936149,148,445036,1826,1.6467688937568457
2023-01-18,재활용 센터,8666,516,16.794573643410853,115,59340,1340,0.3850746268656716
2023-01-18,재활용 분리 배출,2882,1552,1.856958762886598,177,274704,1720,0.9023255813953488
2023-01-18,재활용 쓰레기,4197,2541,1.6517119244391971,0,0,1230,2.0658536585365854
2023-01-18,재활용 아이디어,1797,671,2.678092399403875,28,18788,930,0.7215053763440861
2023-01-18,재활용의 중요성,5611,2366,2.371513102282333,135,319410,1758,1.3458475540386803
2023-01-18,재활용 교육,5698,1196,4.764214046822742,75,89700,970,1.2329896907216495
2023-01-18,플라스틱 재활용,3375,1932,1.7468944099378882,50,96600,1226,1.5758564437194127
2023-01-19,플라스틱 재활용,9729,8564,1.1360345632881832,137,1173268,2212,3.871609403254973
2023-01-19,재활용 방법,7962,2949,2.6998982706002033,176,519024,1197,2.463659147869674
2023-01-19,재활용 센터,5408,438,12.34703196347032,10,4380,2931,0.14943705220061412
2023-01-20,재활용 아이디어,2647,25,105.88,145,3625,1266,0.019747235387045814
2023-01-20,플라스틱 재활용,9799,3663,2.675129675129675,117,428571,1252,2.9257188498402558
2023-01-20,재활용 쓰레기,3866,2553,1.5142969056012534,189,482517,81,31.51851851851852
2023-01-20,재활용 통계,9799,8291,1.1818839705704982,4,33164,3078,2.693632228719948
2023-01-20,재활용 방법,6071,4137,1.4674885182499395,122,504714,2281,1.8136782113108285
2023-01-20,재활용 법률,1414,890,1.5887640449438203,95,84550,2007,0.4434479322371699
2023-01-20,재활용 교육,9724,386,25.191709844559586,141,54426,2721,0.14185961043733922
2023-01-20,재활용 센터,9320,4876,1.911402789171452,76,370576,362,13.469613259668508
2023-01-20,재활용의 중요성,3259,124,26.282258064516128,81,10044,2749,0.04510731174972717
2023-01-20,재활용 분리 배출,5643,4942,1.141845406717928,188,929096,764,6.468586387434555
2023-01-21,재활용 센터,2907,31,93.7741935483871,7,217,1340,0.023134328358208955
2023-01-21,재활용 방법,9084,6738,1.348174532502226,16,107808,2042,3.299706170421156
2023-01-21,재활용 쓰레기,5008,3198,1.565978736710444,154,492492,2168,1.4750922509225093
2023-01-21,플라스틱 재활용,1432,519,2.7591522157996144,33,17127,1246,0.41653290529695025
2023-01-21,재활용 교육,8210,4263,1.92587379779498,78,332514,328,12.996951219512194
2023-01-21,재활용의 중요성,8315,5914,1.4059857964152858,178,1052692,1417,4.173606210303458
2023-01-21,재활용 분리 배출,44,3,14.666666666666666,195,585,2942,0.0010197144799456153
2023-01-21,재활용 아이디어,5968,3069,1.9446073639622026,117,359073,773,3.9702457956015524
2023-01-22,플라스틱 재활용,6382,5393,1.183385870572965,130,701090,172,31.3546511627907
2023-01-22,재활용 교육,3553,1635,2.1730886850152906,174,284490,322,5.077639751552795
2023-01-22,재활용 센터,1174,845,1.3893491124260355,199,168155,1640,0.5152439024390244
2023-01-23,재활용 분리 배출,605,183,3.3060109289617485,31,5673,3020,0.06059602649006623
2023-01-23,플라스틱 재활용,6041,1954,3.0916069600818834,46,89884,2608,0.7492331288343558
2023-01-23,재활용 통계,1195,809,1.477132262051916,128,103552,1290,0.6271317829457365
2023-01-24,재활용 센터,9305,4426,2.1023497514685947,69,305394,801,5.525593008739076
2023-01-24,재활용 아이디어,2623,1934,1.3562564632885212,79,152786,657,2.9436834094368343
2023-01-24,재활용 방법,2793,1440,1.9395833333333334,22,31680,2416,0.5960264900662252
2023-01-25,재활용 센터,4897,1763,2.777651730005672,17,29971,604,2.9188741721854305
2023-01-25,재활용 아이디어,3711,364,10.195054945054945,10,3640,438,0.8310502283105022
2023-01-25,재활용 통계,1917,791,2.4235145385587864,158,124978,2024,0.3908102766798419
2023-01-25,재활용의 중요성,4510,4138,1.0898985016916385,132,546216,2541,1.6284927194018104
2023-01-25,재활용 법률,295,152,1.9407894736842106,69,10488,1296,0.11728395061728394
2023-01-25,재활용 교육,4792,3556,1.3475815523059618,182,647192,1186,2.9983136593591904
2023-01-25,플라스틱 재활용,1999,1856,1.0770474137931034,157,291392,461,4.026030368763558
2023-01-25,재활용 분리 배출,1477,298,4.956375838926174,157,46786,2885,0.10329289428076256
2023-01-25,재활용 쓰레기,9426,5734,1.6438786187652599,186,1066524,2519,2.276300119094879
2023-01-25,재활용 방법,2381,1446,1.6466113416320884,169,244374,2322,0.6227390180878553
2023-01-26,재활용 교육,7031,391,17.982097186700766,5,1955,1669,0.23427201917315757
2023-01-26,재활용 쓰레기,9094,6973,1.304173239638606,141,983193,2815,2.4770870337477797
2023-01-27,재활용 통계,1705,1226,1.3907014681892333,113,138538,1360,0.9014705882352941
2023-01-27,플라스틱 재활용,6673,5749,1.1607236041050617,151,868099,2751,2.0897855325336243
2023-01-27,재활용 교육,1692,832,2.0336538461538463,108,89856,718,1.158774373259053
2023-01-27,재활용 방법,174,71,2.4507042253521125,144,10224,1830,0.03879781420765027
2023-01-27,재활용 분리 배출,7905,714,11.071428571428571,90,64260,934,0.7644539614561028
2023-01-27,재활용 센터,4929,2746,1.7949745083758193,144,395424,2084,1.317658349328215
2023-01-28,재활용 방법,5534,433,12.780600461893764,33,14289,924,0.4686147186147186
2023-01-28,재활용 쓰레기,5118,3472,1.474078341013825,126,437472,2984,1.1635388739946382
2023-01-28,재활용 아이디어,7674,2672,2.872005988023952,86,229792,1150,2.323478260869565
2023-01-28,재활용 통계,9348,8778,1.0649350649350648,132,1158696,2423,3.6227816756087496
2023-01-28,재활용의 중요성,5237,2985,1.7544388609715242,141,420885,652,4.578220858895706
2023-01-28,재활용 교육,5616,2070,2.7130434782608694,198,409860,2434,0.8504519309778144
2023-01-29,재활용 아이디어,7577,2574,2.9436674436674437,94,241956,69,37.30434782608695
2023-01-29,재활용 방법,2431,520,4.675,130,67600,2788,0.18651362984218078
2023-01-29,재활용 교육,4429,1191,3.7187237615449202,83,98853,194,6.139175257731959
2023-01-29,재활용의 중요성,7737,3117,2.482194417709336,57,177669,2947,1.0576857821513403
2023-01-29,재활용 센터,1785,1323,1.3492063492063493,20,26460,375,3.528
2023-01-29,재활용 분리 배출,413,247,1.6720647773279351,171,42237,478,0.5167364016736402
2023-01-29,플라스틱 재활용,5351,3824,1.3993200836820083,95,363280,367,10.419618528610354
2023-01-29,재활용 통계,6274,3327,1.8857829876765855,119,395913,1358,2.4499263622974965
2023-01-29,재활용 쓰레기,1425,1024,1.3916015625,72,73728,2421,0.42296571664601407
2023-01-30,플라스틱 재활용,33,31,1.064516129032258,5,155,2722,0.011388684790595151
2023-01-31,재활용 교육,1182,1057,1.118259224219489,180,190260,2417,0.43731899048407114
2023-01-31,재활용 방법,7694,2699,2.8506854390515004,50,134950,3048,0.885498687664042
2023-01-31,재활용 분리 배출,5696,851,6.693301997649824,49,41699,1708,0.49824355971896955
2023-01-31,재활용 법률,3107,2622,1.184973302822273,183,479826,1319,1.9878695981804397
2023-01-31,플라스틱 재활용,1004,633,1.5860979462875198,10,6330,522,1.2126436781609196
2023-02-01,재활용 통계,7820,3723,2.1004566210045663,4,14892,2326,1.6006018916595013
2023-02-02,플라스틱 재활용,9360,5898,1.5869786368260428,122,719556,2820,2.0914893617021275
2023-02-02,재활용 센터,2529,1657,1.5262522631261315,145,240265,3077,0.5385115372115697
2023-02-02,재활용 통계,292,99,2.9494949494949494,144,14256,2605,0.03800383877159309
2023-02-02,재활용 쓰레기,8384,3270,2.563914373088685,132,431640,1840,1.7771739130434783
2023-02-02,재활용의 중요성,1937,1152,1.6814236111111112,40,46080,1376,0.8372093023255814
2023-02-03,플라스틱 재활용,8968,7035,1.2747690120824449,61,429135,1822,3.8611416026344676
2023-02-04,재활용 아이디어,3766,2630,1.431939163498099,22,57860,744,3.53494623655914
2023-02-04,재활용 분리 배출,203,60,3.3833333333333333,181,10860,2592,0.023148148148148147
2023-02-04,재활용 교육,3100,1550,2.0,165,255750,42,36.904761904761905
2023-02-04,재활용 법률,2168,90,24.08888888888889,11,990,749,0.12016021361815754
2023-02-04,재활용 쓰레기,1162,180,6.455555555555556,176,31680,1059,0.16997167138810199
2023-02-04,재활용의 중요성,4538,3822,1.1873364730507587,151,577122,2304,1.6588541666666667
2023-02-04,재활용 센터,17,17,1.0,63,1071,502,0.03386454183266932
2023-02-04,플라스틱 재활용,377,116,3.25,155,17980,2830,0.04098939929328622
2023-02-04,재활용 방법,4913,4564,1.0764680105170903,66,301224,725,6.295172413793104
2023-02-05,재활용 교육,5492,5373,1.0221477759166202,187,1004751,404,13.299504950495049
2023-02-05,재활용 센터,4418,2569,1.7197353055663682,104,267176,2057,1.248906174039864
2023-02-05,재활용 법률,3831,635,6.033070866141732,25,15875,2162,0.2937095282146161
2023-02-05,플라스틱 재활용,9279,4248,2.184322033898305,109,463032,2102,2.0209324452902
2023-02-05,재활용 통계,4680,4147,1.128526645768025,186,771342,299,13.869565217391305
2023-02-05,재활용 방법,4983,3321,1.5004516711833784,58,192618,411,8.08029197080292
2023-02-05,재활용 아이디어,3433,2781,1.234448040273283,128,355968,2649,1.0498301245753114
2023-02-05,재활용 쓰레기,9495,223,42.57847533632287,35,7805,2283,0.0976784932106877
2023-02-06,재활용 방법,8814,4455,1.9784511784511785,49,218295,1026,4.342105263157895
2023-02-06,재활용 교육,3705,1716,2.159090909090909,190,326040,657,2.6118721461187215
2023-02-06,재활용 센터,2796,2326,1.2020636285468616,175,407050,2106,1.104463437796771
2023-02-06,재활용 아이디어,7573,1416,5.34816384180791,51,72216,945,1.4984126984126984
2023-02-07,재활용 분리 배출,5223,1582,3.3015170670037928,153,242046,595,2.6588235294117646
2023-02-07,재활용 센터,2074,251,8.262948207171315,198,49698,1807,0.13890426120641947
2023-02-07,재활용 교육,8878,7154,1.2409840648588202,151,1080254,2389,2.994558392632901
2023-02-07,재활용 통계,7097,253,28.051383399209485,149,37697,1256,0.2014331210191083
2023-02-08,재활용의 중요성,4151,2020,2.0549504950495048,12,24240,456,4.4298245614035086
2023-02-08,재활용 쓰레기,8442,3607,2.340449126698087,92,331844,1132,3.1863957597173145
2023-02-08,재활용 센터,7889,5345,1.4759588400374182,46,245870,919,5.816104461371055
2023-02-08,재활용 아이디어,8473,5572,1.5206389088298635,94,523768,1206,4.6202321724709785
2023-02-08,플라스틱 재활용,1178,999,1.1791791791791792,84,83916,2036,0.4906679764243615
2023-02-09,재활용 통계,4640,700,6.628571428571429,115,80500,2440,0.28688524590163933
2023-02-10,재활용 법률,9398,4386,2.1427268581851346,177,776322,1250,3.5088
2023-02-10,재활용 쓰레기,8293,692,11.984104046242775,7,4844,2952,0.23441734417344173
2023-02-10,재활용 분리 배출,5474,17,322.0,0,0,388,0.04381443298969072
2023-02-10,재활용 통계,5872,4036,1.4549058473736374,120,484320,154,26.207792207792206
2023-02-11,재활용 분리 배출,7615,1321,5.764572293716881,131,173051,711,1.8579465541490858
2023-02-11,재활용 법률,534,130,4.107692307692307,22,2860,718,0.181058495821727
2023-02-11,재활용 센터,4209,2311,1.8212894850713977,175,404425,2235,1.0340044742729306
2023-02-11,플라스틱 재활용,8867,3586,2.4726715002788624,61,218746,2648,1.3542296072507554
2023-02-11,재활용 방법,1564,1151,1.3588184187662902,158,181858,1507,0.7637690776376908
2023-02-11,재활용 쓰레기,7872,1435,5.485714285714286,190,272650,404,3.551980198019802
2023-02-11,재활용 아이디어,5659,5321,1.0635218943807554,145,771545,2625,2.027047619047619
2023-02-11,재활용 통계,4947,359,13.779944289693594,95,34105,1729,0.20763447079236552
2023-02-11,재활용의 중요성,1490,672,2.2172619047619047,197,132384,1703,0.39459776864357016
2023-02-12,재활용 아이디어,6076,352,17.261363636363637,190,66880,1527,0.23051735428945644
2023-02-12,재활용 통계,3569,2046,1.7443792766373412,167,341682,789,2.593155893536122
2023-02-13,재활용 쓰레기,5065,993,5.100704934541793,82,81426,190,5.226315789473684
2023-02-13,재활용의 중요성,9940,9486,1.0478600042167405,74,701964,178,53.29213483146067
2023-02-13,재활용 분리 배출,8219,1691,4.860437610881135,172,290852,2549,0.6633974107493135
2023-02-13,재활용 방법,7281,5215,1.3961649089165868,85,443275,2553,2.042694868781825
2023-02-13,재활용 법률,9874,1781,5.54407636159461,21,37401,2021,0.8812469074715488
2023-02-14,재활용의 중요성,7888,3183,2.4781652529060634,56,178248,2753,1.1561932437341083
2023-02-14,재활용 법률,9945,9102,1.0926170072511536,162,1474524,496,18.350806451612904
2023-02-14,재활용 쓰레기,3611,2874,1.256437021572721,37,106338,478,6.01255230125523
2023-02-14,재활용 아이디어,8095,7926,1.0213222306333585,9,71334,139,57.02158273381295
2023-02-14,플라스틱 재활용,8986,6414,1.4009978172747115,41,262974,587,10.926746166950597
2023-02-14,재활용 교육,4221,1843,2.29028757460662,50,92150,952,1.9359243697478992
2023-02-15,재활용 방법,7373,2184,3.375915750915751,108,235872,103,21.203883495145632
2023-02-15,재활용 교육,1826,1809,1.0093974571586513,199,359991,2750,0.6578181818181819
2023-02-15,재활용의 중요성,1904,1337,1.4240837696335078,5,6685,2375,0.5629473684210526
2023-02-16,재활용 아이디어,6061,3183,1.9041784480050268,150,477450,650,4.896923076923077
2023-02-16,재활용 통계,9249,4540,2.0372246696035243,131,594740,558,8.136200716845877
2023-02-16,플라스틱 재활용,2513,2130,1.1798122065727699,125,266250,21,101.42857142857143
2023-02-16,재활용의 중요성,9340,2469,3.782908059943297,115,283935,2315,1.066522678185745
2023-02-16,재활용 방법,5515,1408,3.916903409090909,99,139392,2512,0.5605095541401274
2023-02-16,재활용 쓰레기,3579,1202,2.9775374376039934,142,170684,1959,0.6135783563042368
2023-02-16,재활용 센터,9344,7149,1.307035949083788,137,979413,2756,2.593976777939042
2023-02-16,재활용 교육,2262,815,2.7754601226993865,18,14670,2967,0.2746882372767105
2023-02-16,재활용 분리 배출,2529,1912,1.3226987447698744,172,328864,2022,0.9455984174085065
2023-02-17,재활용 아이디어,5239,3724,1.4068206229860365,178,662872,86,43.30232558139535
2023-02-17,재활용 법률,8273,282,29.336879432624112,91,25662,229,1.2314410480349345
2023-02-17,재활용 분리 배출,3285,3210,1.0233644859813085,44,141240,2466,1.3017031630170317
2023-02-17,재활용 교육,9967,2181,4.569922054103622,163,355503,2148,1.01536312849162
2023-02-17,재활용의 중요성,4113,2853,1.4416403785488958,79,225387,266,10.725563909774436
2023-02-17,재활용 센터,6540,5752,1.1369958275382475,32,184064,864,6.657407407407407
2023-02-17,재활용 통계,5528,807,6.8500619578686495,94,75858,2067,0.3904208998548621
2023-02-17,재활용 방법,8621,2306,3.738508239375542,119,274414,2521,0.9147163823879413
2023-02-18,재활용 방법,2188,125,17.504,197,24625,520,0.2403846153846154
2023-02-18,플라스틱 재활용,5799,1217,4.764995891536565,132,160644,2391,0.5089920535340862
2023-02-18,재활용 쓰레기,6195,4820,1.2852697095435686,100,482000,1507,3.1984074319840743
2023-02-18,재활용 분리 배출,7512,4412,1.7026291931097008,13,57356,1067,4.134957825679475
2023-02-18,재활용 센터,5705,1107,5.15356820234869,80,88560,1711,0.6469900642898889
2023-02-19,재활용 방법,969,322,3.0093167701863353,156,50232,764,0.4214659685863874
2023-02-19,재활용 법률,1772,1510,1.1735099337748345,59,89090,57,26.49122807017544
2023-02-19,재활용 교육,1826,1576,1.1586294416243654,161,253736,1589,0.9918187539332913
2023-02-19,재활용 센터,3838,3330,1.1525525525525526,139,462870,2544,1.3089622641509433
2023-02-19,플라스틱 재활용,5291,789,6.70595690747782,55,43395,137,5.759124087591241
2023-02-19,재활용 분리 배출,2007,233,8.6137339055794,153,35649,1101,0.21162579473206175
2023-02-20,재활용 분리 배출,1829,1471,1.2433718558803535,112,164752,1028,1.4309338521400778
2023-02-20,재활용 쓰레기,5949,3896,1.5269507186858315,137,533752,1354,2.877400295420975
2023-02-20,재활용 방법,119,45,2.6444444444444444,47,2115,156,0.28846153846153844
2023-02-20,재활용 아이디어,2218,162,13.691358024691358,13,2106,358,0.45251396648044695
2023-02-20,재활용 센터,3970,386,10.284974093264248,139,53654,148,2.608108108108108
2023-02-20,플라스틱 재활용,170,68,2.5,100,6800,2227,0.030534351145038167
2023-02-20,재활용의 중요성,2738,2124,1.2890772128060264,175,371700,468,4.538461538461538
2023-02-20,재활용 법률,5913,408,14.492647058823529,10,4080,2021,0.20188025729836714
2023-02-20,재활용 통계,4162,1093,3.807868252516011,75,81975,61,17.918032786885245
2023-02-20,재활용 교육,7904,371,21.304582210242586,120,44520,254,1.4606299212598426
2023-02-21,재활용 분리 배출,5035,2984,1.6873324396782843,109,325256,1427,2.0911002102312546
2023-02-21,재활용 센터,2071,653,3.1715160796324655,151,98603,53,12.320754716981131
2023-02-21,재활용 법률,9894,3780,2.6174603174603175,73,275940,2165,1.745958429561201
2023-02-21,재활용 방법,7521,5435,1.3838086476540938,156,847860,784,6.932397959183674
2023-02-21,재활용 아이디어,2427,15,161.8,88,1320,134,0.11194029850746269
2023-02-21,플라스틱 재활용,2915,2790,1.0448028673835126,59,164610,2824,0.9879603399433428
2023-02-21,재활용 교육,3510,714,4.915966386554622,115,82110,1849,0.38615467820443483
2023-02-21,재활용 쓰레기,1450,1064,1.362781954887218,175,186200,1258,0.8457869634340223
2023-02-21,재활용 통계,2715,2585,1.0502901353965184,5,12925,363,7.121212121212121
2023-02-22,재활용 법률,8208,2074,3.957569913211186,200,414800,1573,1.3184996821360457
2023-02-22,재활용 교육,1016,300,3.3866666666666667,0,0,1022,0.29354207436399216
2023-02-22,플라스틱 재활용,3669,2107,1.7413383958234456,25,52675,1908,1.1042976939203355
2023-02-22,재활용 아이디어,7856,7005,1.1214846538187009,163,1141815,1968,3.5594512195121952
2023-02-22,재활용 분리 배출,9207,811,11.352651048088779,29,23519,1445,0.5612456747404845
2023-02-22,재활용의 중요성,4307,2922,1.4739904175222451,91,265902,1826,1.6002190580503834
2023-02-22,재활용 센터,4613,2754,1.6750181554103123,42,115668,2446,1.1259198691741619
2023-02-22,재활용 쓰레기,5930,1652,3.5895883777239708,10,16520,2109,0.7833096254148886
2023-02-22,재활용 방법,8017,6375,1.2575686274509803,32,204000,1509,4.224652087475149
2023-02-22,재활용 통계,7721,6168,1.2517833981841764,121,746328,2489,2.4781036560867817
2023-02-23,재활용 센터,953,905,1.0530386740331492,158,142990,2980,0.3036912751677852
2023-02-23,재활용 아이디어,6570,4562,1.4401578255151248,99,451638,2776,1.643371757925072
2023-02-23,재활용의 중요성,9429,2356,4.002122241086587,51,120156,19,124.0
2023-02-23,재활용 분리 배출,9304,7003,1.3285734685134942,167,1169501,1621,4.320172732880938
2023-02-23,재활용 통계,9456,8890,1.0636670416197975,49,435610,791,11.238938053097344
2023-02-23,재활용 방법,458,171,2.6783625730994154,98,16758,1555,0.10996784565916398
2023-02-24,재활용 센터,3844,2568,1.4968847352024923,136,349248,2213,1.1604157252598284
2023-02-24,재활용 법률,3175,1862,1.70515574650913,90,167580,1715,1.0857142857142856
2023-02-24,플라스틱 재활용,8567,8525,1.0049266862170088,18,153450,1838,4.638193688792166
2023-02-24,재활용 통계,504,160,3.15,193,30880,1652,0.09685230024213075
2023-02-24,재활용 교육,5811,3526,1.6480431083380602,159,560634,2849,1.2376272376272377
2023-02-24,재활용 아이디어,6281,1367,4.594732991953182,124,169508,781,1.7503201024327786
2023-02-24,재활용 쓰레기,1148,754,1.5225464190981433,172,129688,2857,0.263913195659783
2023-02-25,플라스틱 재활용,4200,1117,3.7600716204118174,190,212230,2875,0.3885217391304348
2023-02-25,재활용 쓰레기,9138,7157,1.2767919519351683,0,0,2582,2.7718822618125483
2023-02-25,재활용 아이디어,4168,1361,3.062454077883909,135,183735,1643,0.8283627510651248
2023-02-25,재활용 통계,8188,3786,2.16270470153196,78,295308,2245,1.6864142538975502
2023-02-25,재활용 교육,8511,1204,7.068936877076412,91,109564,2903,0.41474336892869446
2023-02-25,재활용의 중요성,304,130,2.3384615384615386,80,10400,2714,0.047899778924097275
2023-02-26,재활용 교육,8311,5962,1.3939953035893995,197,1174514,2106,2.830959164292498
2023-02-26,재활용 분리 배출,8384,6552,1.2796092796092795,11,72072,2487,2.634499396863691
2023-02-26,재활용 아이디어,4592,1603,2.8646288209606987,177,283731,2251,0.7121279431363838
2023-02-26,재활용 쓰레기,171,64,2.671875,175,11200,1184,0.05405405405405406
2023-02-26,재활용 센터,228,48,4.75,14,672,1448,0.03314917127071823
